"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PITX1",2.44201197364902,2.07909605161469,0.694620989697357,2.99313738348238,0.00276125421033609,0.00869790707643576
"LGI1",3.6658850139378,2.37789795210394,0.79446625978508,2.99307607191174,0.00276180899972673,0.00869873716271238
"LOC105369340",10.0253494471278,1.90819587245348,0.637595522819668,2.99279998707454,0.00276430846757391,0.00870569148835757
"LOC105371225",1.76240642207637,3.38100575407428,1.12975166238087,2.99269818904188,0.00276523059291218,0.00870767731519635
"PABPC1",4067.26043095764,-0.856152810365867,0.286090589695763,-2.9925933994415,0.00276618011048644,0.00870974897202716
"OVCH1-AS1",175.448829138785,1.31796270960297,0.440433987190541,2.99241826910327,0.00276776766304668,0.00871382893283672
"MCMDC2",206.125779689076,1.25134454264805,0.41818369331345,2.99233222781384,0.00276854793023154,0.00871536670563561
"LOC105375509",14.0524104058713,2.26588327942674,0.757468676957475,2.9913887509225,0.00277711706031572,0.00874142084805323
"KLHL23",11.7900597029231,1.50225616201571,0.502260765858845,2.99098847477548,0.00278075988254179,0.00875196478997897
"FAM151A",13.813571718183,2.54843402050998,0.852107156526282,2.9907435948537,0.0027829906302475,0.00875806271573674
"DYNLL1",323.436026911887,1.18085832615957,0.394875133449384,2.99046008758344,0.00278557529744275,0.00876527302266649
"MAT1A",2.84577888322811,4.52177447432102,1.51227595652549,2.99004586749495,0.00278935558362586,0.00877624362673685
"LOC105372353",4.55922067915141,2.62600168721483,0.878390245789717,2.98956153008498,0.00279378172170387,0.00878924377106141
"LOC105372168",4.41645715734609,3.98121682049332,1.3318581557297,2.989219837988,0.0027969081473484,0.00879815270913839
"L3MBTL4",218.545829396406,0.902098871350435,0.301862094859573,2.98844699852127,0.00280399128935225,0.00881950498752027
"CACNA1G-AS1",2.11299250033247,3.73409761837385,1.24954080694985,2.98837588785023,0.0028046438472462,0.00882062852759138
"MTHFD1L",193.347432101116,0.723546684348069,0.242131644037516,2.98823678013752,0.00280592079137673,0.00882371532425673
"AS-PTPRE",751.438313891169,1.46513670858202,0.490348243348487,2.98795137630536,0.00280854232813924,0.00883015687603314
"LOC107984204",12.6253949245379,-1.37730466480577,0.460953142899977,-2.98794939576892,0.00280856052789013,0.00883015687603314
"ANKHD1-EIF4EBP3",1657.86243302905,-0.639040236156318,0.213895601710987,-2.98762681908616,0.00281152622073088,0.00883855058759241
"ASIC1",5.90340400048235,1.8050601263334,0.60428334505316,2.9871088473812,0.00281629431198079,0.00885260810728412
"STK24",852.467872383782,-0.517265496076736,0.173181203582637,-2.98684548539884,0.00281872147190569,0.00885930506824494
"TXNRD3",14.8935491320181,1.95292824921302,0.653985556684976,2.98619477028259,0.00282472669428411,0.00887724536723087
"LINC00864",1.26405845829912,4.22796774978117,1.41593136934049,2.98599765591073,0.00282654809802737,0.00888203482192627
"TMEM179",2.42611574580159,3.04963154849009,1.0214170381174,2.98568697670341,0.00282942105672077,0.00888987395294628
"TRIM22",2590.84775715888,0.822675646440001,0.275541983062534,2.98566351775618,0.0028296380979979,0.00888987395294628
"RAB5IF",191.634818223198,0.699930685487191,0.234437324132767,2.98557701115376,0.00283043858515338,0.00889145349170145
"MARCKS",1291.35018597707,1.11078331035247,0.372066711556823,2.98544125515736,0.00283169521748679,0.00889446546805247
"SORCS2",2862.15205208856,1.455375670535,0.487534360362963,2.98517558731961,0.00283415585946801,0.00890125825460218
"RAMP2",1.54165611031663,4.02003557268268,1.34688243457726,2.98469671107146,0.00283859619091992,0.0089137741243971
"LOC100130207",58.5915616706613,1.39623115092863,0.46779905206314,2.9846814455284,0.00283873784353393,0.0089137741243971
"CEACAM18",3.19715394152171,2.56567385851083,0.859625275933384,2.98464218112365,0.00283910221695868,0.00891398104599149
"LOC105369990",1.153864747747,3.6354769650863,1.21841911346991,2.98376554085146,0.00284724856135917,0.00893861855198063
"MRPL34",30.4728667026166,1.38057658916932,0.462734735845329,2.98351621830868,0.00284956933275687,0.00894496406588016
